feature,importance
product_return_rate,0.89189785320771
shipping_cost_per_unit,0.031175623483601332
customer_avg_sales,0.02511232586561011
order_month,0.010774174850173516
customer_order_count,0.00994305302178184
sales,0.008669899332355006
profit,0.006090847267028628
estimated_shipping_cost,0.004634218424789728
delivery_duration,0.004194411662193245
profit_margin,0.003015083975853258
shipping_cost_ratio,0.0027329597729650176
discount,0.0014345244372405256
quantity,0.00025289673082896875
category_return_rate,2.6560595863928067e-05
is_delayed,2.306876013569232e-05
is_loss_order,1.8862195250407185e-05
sub_category_return_rate,3.6364166187143134e-06
